Transaction_ID,Date,Time,Day_of_Week,Product_Name,Category,Quantity,Unit_Price,Total_Amount,Payment_Mode,Customer_Type,Is_Festival_Period
5009,2025-09-30,20:32:51,Tuesday,Bru Instant Coffee (50g),Beverages,1,95,95,Cash,Member,No
5010,2025-09-30,18:15:13,Tuesday,Bananas (Robusta) (Dozen),Fresh Produce,3,50,150,UPI,Walk-in,No
5010,2025-09-30,18:15:13,Tuesday,Santoor Soap (4 Pack),Personal Care,1,140,140,UPI,Walk-in,No
5010,2025-09-30,18:15:13,Tuesday,Bru Instant Coffee (50g),Beverages,1,95,95,UPI,Walk-in,No
5010,2025-09-30,18:15:13,Tuesday,Colgate Toothpaste (200g),Personal Care,1,110,110,UPI,Walk-in,No
5010,2025-09-30,18:15:13,Tuesday,Atta (Wheat Flour) (1kg),Groceries,4,42,168,UPI,Walk-in,No
5011,2025-09-30,19:25:36,Tuesday,Good Day Biscuits,Snacks,1,30,30,Credit Card,Member,No
5012,2025-09-30,18:36:22,Tuesday,Sunflower Oil (1L),Groceries,1,145,145,UPI,Walk-in,No
5012,2025-09-30,18:36:22,Tuesday,Santoor Soap (4 Pack),Personal Care,1,140,140,UPI,Walk-in,No
5012,2025-09-30,18:36:22,Tuesday,Ghee (500ml),Groceries,1,380,380,UPI,Walk-in,No
5012,2025-09-30,18:36:22,Tuesday,Mineral Water (20L),Beverages,5,80,400,UPI,Walk-in,No
5013,2025-09-30,18:07:28,Tuesday,Maaza (1.2L),Beverages,1,70,70,Debit Card,Member,No
5013,2025-09-30,18:07:28,Tuesday,Green Chilies (250g),Fresh Produce,2,15,30,Debit Card,Member,No
5013,2025-09-30,18:07:28,Tuesday,Sunflower Oil (1L),Groceries,2,145,290,Debit Card,Member,No
5014,2025-09-30,14:12:58,Tuesday,Sona Masoori Rice (1kg),Groceries,7,55,385,Credit Card,Walk-in,No
5015,2025-09-30,14:06:45,Tuesday,Full Cream Milk (500ml),Dairy,7,34,238,UPI,Member,No
5015,2025-09-30,14:06:45,Tuesday,Lays Chips (Magic Masala),Snacks,10,20,200,UPI,Member,No
5016,2025-09-30,15:40:38,Tuesday,Maaza (1.2L),Beverages,2,70,140,UPI,Walk-in,No
5016,2025-09-30,15:40:38,Tuesday,Red Label Tea (500g),Beverages,1,210,210,UPI,Walk-in,No
5016,2025-09-30,15:40:38,Tuesday,Dairy Milk Silk,Snacks,1,80,80,UPI,Walk-in,No
5017,2025-09-30,17:07:57,Tuesday,Good Day Biscuits,Snacks,6,30,180,Debit Card,Member,No
5017,2025-09-30,17:07:57,Tuesday,Ghee (500ml),Groceries,1,380,380,Debit Card,Member,No
5017,2025-09-30,17:07:57,Tuesday,Onions (1kg),Fresh Produce,1,30,30,Debit Card,Member,No
5017,2025-09-30,17:07:57,Tuesday,Bru Instant Coffee (50g),Beverages,1,95,95,Debit Card,Member,No
5018,2025-09-30,11:48:12,Tuesday,Palak (Bunch),Fresh Produce,3,20,60,Cash,Walk-in,No
5019,2025-09-30,14:43:04,Tuesday,Lays Chips (Magic Masala),Snacks,10,20,200,Credit Card,Member,No
5019,2025-09-30,14:43:04,Tuesday,Curry Leaves (Bunch),Fresh Produce,1,10,10,Credit Card,Member,No
5020,2025-09-30,19:47:10,Tuesday,Maggi Noodles (4 Pack),Snacks,6,56,336,Cash,Member,No
5020,2025-09-30,19:47:10,Tuesday,Good Day Biscuits,Snacks,5,30,150,Cash,Member,No
5020,2025-09-30,19:47:10,Tuesday,Papaya (1kg),Fresh Produce,1,45,45,Cash,Member,No
5021,2025-09-30,13:51:14,Tuesday,Toor Dal (1kg),Groceries,1,135,135,Cash,Member,No
5021,2025-09-30,13:51:14,Tuesday,Mineral Water (20L),Beverages,1,80,80,Cash,Member,No
5022,2025-09-30,17:44:17,Tuesday,Eggs (Tray 30),Dairy,1,180,180,Cash,Walk-in,No
5022,2025-09-30,17:44:17,Tuesday,Maaza (1.2L),Beverages,1,70,70,Cash,Walk-in,No
5023,2025-09-30,14:53:48,Tuesday,Red Label Tea (500g),Beverages,1,210,210,Cash,Member,No
5023,2025-09-30,14:53:48,Tuesday,Full Cream Milk (500ml),Dairy,8,34,272,Cash,Member,No
5023,2025-09-30,14:53:48,Tuesday,Tata Salt (1kg),Groceries,1,24,24,Cash,Member,No
5024,2025-09-30,20:37:54,Tuesday,Ghee (500ml),Groceries,1,380,380,Debit Card,Walk-in,No
5024,2025-09-30,20:37:54,Tuesday,Curd (500ml),Dairy,1,40,40,Debit Card,Walk-in,No
5024,2025-09-30,20:37:54,Tuesday,Tomatoes (Local) (1kg),Fresh Produce,1,35,35,Debit Card,Walk-in,No
5024,2025-09-30,20:37:54,Tuesday,Sunflower Oil (1L),Groceries,3,145,435,Debit Card,Walk-in,No
5025,2025-09-30,17:16:32,Tuesday,Thums Up (1.25L),Beverages,1,65,65,Credit Card,Member,No
5026,2025-09-30,17:46:03,Tuesday,Ghee (500ml),Groceries,1,380,380,Debit Card,Walk-in,No
5027,2025-09-30,19:56:00,Tuesday,Curd (500ml),Dairy,2,40,80,Cash,Walk-in,No
5027,2025-09-30,19:56:00,Tuesday,Curry Leaves (Bunch),Fresh Produce,1,10,10,Cash,Walk-in,No
5027,2025-09-30,19:56:00,Tuesday,Green Chilies (250g),Fresh Produce,1,15,15,Cash,Walk-in,No
5027,2025-09-30,19:56:00,Tuesday,Santoor Soap (4 Pack),Personal Care,1,140,140,Cash,Walk-in,No
5028,2025-09-30,09:48:19,Tuesday,Onions (1kg),Fresh Produce,1,30,30,Credit Card,Member,No
5029,2025-09-30,18:18:45,Tuesday,Tata Salt (1kg),Groceries,1,24,24,Debit Card,Walk-in,No
5029,2025-09-30,18:18:45,Tuesday,Surf Excel Powder (1kg),Household,1,135,135,Debit Card,Walk-in,No
5029,2025-09-30,18:18:45,Tuesday,Haldiram Bhujia (200g),Snacks,3,55,165,Debit Card,Walk-in,No
5030,2025-09-30,13:19:10,Tuesday,Onions (1kg),Fresh Produce,7,30,210,Debit Card,Member,No
5030,2025-09-30,13:19:10,Tuesday,Sona Masoori Rice (1kg),Groceries,3,55,165,Debit Card,Member,No
5031,2025-09-30,18:20:41,Tuesday,Bru Instant Coffee (50g),Beverages,1,95,95,UPI,Member,No
5032,2025-10-01,20:48:58,Wednesday,Bananas (Robusta) (Dozen),Fresh Produce,1,50,50,Debit Card,Member,No
5033,2025-10-01,19:36:43,Wednesday,Lays Chips (Magic Masala),Snacks,8,20,160,Debit Card,Walk-in,No
5033,2025-10-01,19:36:43,Wednesday,Toor Dal (1kg),Groceries,1,135,135,Debit Card,Walk-in,No
5034,2025-10-01,15:34:17,Wednesday,Amul Butter (100g),Dairy,1,56,56,Credit Card,Walk-in,No
5034,2025-10-01,15:34:17,Wednesday,Curd (500ml),Dairy,2,40,80,Credit Card,Walk-in,No
5035,2025-10-01,17:15:55,Wednesday,Eggs (Tray 30),Dairy,1,180,180,UPI,Member,No
5035,2025-10-01,17:15:55,Wednesday,Ghee (500ml),Groceries,1,380,380,UPI,Member,No
5035,2025-10-01,17:15:55,Wednesday,Sunflower Oil (1L),Groceries,2,145,290,UPI,Member,No
5035,2025-10-01,17:15:55,Wednesday,Basmati Rice (1kg),Groceries,1,120,120,UPI,Member,No
5035,2025-10-01,17:15:55,Wednesday,Potatoes (1kg),Fresh Produce,4,28,112,UPI,Member,No
5036,2025-10-01,17:53:52,Wednesday,Potatoes (1kg),Fresh Produce,5,28,140,Credit Card,Walk-in,No
5036,2025-10-01,17:53:52,Wednesday,Maggi Noodles (4 Pack),Snacks,6,56,336,Credit Card,Walk-in,No
5036,2025-10-01,17:53:52,Wednesday,Ghee (500ml),Groceries,1,380,380,Credit Card,Walk-in,No
5037,2025-10-01,19:37:07,Wednesday,Good Day Biscuits,Snacks,4,30,120,Cash,Walk-in,No
5038,2025-10-01,10:56:50,Wednesday,Curd (500ml),Dairy,4,40,160,Cash,Walk-in,No
5038,2025-10-01,10:56:50,Wednesday,Onions (1kg),Fresh Produce,6,30,180,Cash,Walk-in,No
5039,2025-10-01,20:49:03,Wednesday,Curry Leaves (Bunch),Fresh Produce,2,10,20,Credit Card,Member,No
5039,2025-10-01,20:49:03,Wednesday,Sugar (1kg),Groceries,3,44,132,Credit Card,Member,No
5040,2025-10-01,11:51:31,Wednesday,Red Label Tea (500g),Beverages,1,210,210,Cash,Member,No
5040,2025-10-01,11:51:31,Wednesday,Maggi Noodles (4 Pack),Snacks,1,56,56,Cash,Member,No
5040,2025-10-01,11:51:31,Wednesday,Good Day Biscuits,Snacks,5,30,150,Cash,Member,No
5040,2025-10-01,11:51:31,Wednesday,Santoor Soap (4 Pack),Personal Care,1,140,140,Cash,Member,No
5041,2025-10-01,12:45:14,Wednesday,Colgate Toothpaste (200g),Personal Care,1,110,110,UPI,Member,No
5041,2025-10-01,12:45:14,Wednesday,Palak (Bunch),Fresh Produce,3,20,60,UPI,Member,No
5042,2025-10-01,20:19:32,Wednesday,Moong Dal (1kg),Groceries,1,110,110,UPI,Walk-in,No
5042,2025-10-01,20:19:32,Wednesday,Bananas (Robusta) (Dozen),Fresh Produce,4,50,200,UPI,Walk-in,No
5043,2025-10-01,15:10:19,Wednesday,Santoor Soap (4 Pack),Personal Care,1,140,140,Credit Card,Walk-in,No
5044,2025-10-01,13:53:14,Wednesday,Onions (1kg),Fresh Produce,6,30,180,UPI,Member,No
5045,2025-10-01,17:14:32,Wednesday,Paneer (200g),Dairy,1,95,95,UPI,Walk-in,No
5046,2025-10-01,18:15:09,Wednesday,Atta (Wheat Flour) (1kg),Groceries,2,42,84,Cash,Member,No
5046,2025-10-01,18:15:09,Wednesday,Curry Leaves (Bunch),Fresh Produce,1,10,10,Cash,Member,No
5046,2025-10-01,18:15:09,Wednesday,Ghee (500ml),Groceries,1,380,380,Cash,Member,No
5046,2025-10-01,18:15:09,Wednesday,Surf Excel Powder (1kg),Household,1,135,135,Cash,Member,No
5046,2025-10-01,18:15:09,Wednesday,Full Cream Milk (500ml),Dairy,3,34,102,Cash,Member,No
5047,2025-10-01,12:52:49,Wednesday,Tata Salt (1kg),Groceries,1,24,24,Credit Card,Member,No
5047,2025-10-01,12:52:49,Wednesday,Maaza (1.2L),Beverages,1,70,70,Credit Card,Member,No
5047,2025-10-01,12:52:49,Wednesday,Toor Dal (1kg),Groceries,2,135,270,Credit Card,Member,No
5048,2025-10-01,17:45:03,Wednesday,Good Day Biscuits,Snacks,5,30,150,Cash,Walk-in,No
5048,2025-10-01,17:45:03,Wednesday,Sugar (1kg),Groceries,3,44,132,Cash,Walk-in,No
5049,2025-10-01,18:06:24,Wednesday,Red Label Tea (500g),Beverages,1,210,210,Credit Card,Member,No
5049,2025-10-01,18:06:24,Wednesday,Santoor Soap (4 Pack),Personal Care,1,140,140,Credit Card,Member,No
5049,2025-10-01,18:06:24,Wednesday,Haldiram Bhujia (200g),Snacks,2,55,110,Credit Card,Member,No
5049,2025-10-01,18:06:24,Wednesday,Maaza (1.2L),Beverages,1,70,70,Credit Card,Member,No
5049,2025-10-01,18:06:24,Wednesday,Toor Dal (1kg),Groceries,1,135,135,Credit Card,Member,No
5050,2025-10-01,18:49:43,Wednesday,Moong Dal (1kg),Groceries,1,110,110,Debit Card,Walk-in,No
5050,2025-10-01,18:49:43,Wednesday,Paneer (200g),Dairy,2,95,190,Debit Card,Walk-in,No
5051,2025-10-01,18:55:35,Wednesday,Sunflower Oil (1L),Groceries,1,145,145,UPI,Walk-in,No
5051,2025-10-01,18:55:35,Wednesday,Full Cream Milk (500ml),Dairy,4,34,136,UPI,Walk-in,No
5051,2025-10-01,18:55:35,Wednesday,Onions (1kg),Fresh Produce,4,30,120,UPI,Walk-in,No
5051,2025-10-01,18:55:35,Wednesday,Colgate Toothpaste (200g),Personal Care,1,110,110,UPI,Walk-in,No
5052,2025-10-01,18:47:36,Wednesday,Surf Excel Powder (1kg),Household,1,135,135,Credit Card,Member,No
5053,2025-10-01,18:40:38,Wednesday,Tomatoes (Local) (1kg),Fresh Produce,7,35,245,Cash,Member,No
5054,2025-10-01,19:15:11,Wednesday,Tata Salt (1kg),Groceries,1,24,24,Cash,Member,No
5055,2025-10-01,19:51:22,Wednesday,Sona Masoori Rice (1kg),Groceries,3,55,165,Credit Card,Member,No
5056,2025-10-01,16:09:24,Wednesday,Ghee (500ml),Groceries,1,380,380,Credit Card,Member,No
5057,2025-10-01,17:01:10,Wednesday,Amul Butter (100g),Dairy,1,56,56,Cash,Member,No
5057,2025-10-01,17:01:10,Wednesday,Tomatoes (Local) (1kg),Fresh Produce,2,35,70,Cash,Member,No
5057,2025-10-01,17:01:10,Wednesday,Full Cream Milk (500ml),Dairy,2,34,68,Cash,Member,No
5058,2025-10-01,18:06:36,Wednesday,Potatoes (1kg),Fresh Produce,5,28,140,Cash,Walk-in,No
5058,2025-10-01,18:06:36,Wednesday,Bananas (Robusta) (Dozen),Fresh Produce,1,50,50,Cash,Walk-in,No
5058,2025-10-01,18:06:36,Wednesday,Tata Salt (1kg),Groceries,1,24,24,Cash,Walk-in,No
5059,2025-10-01,10:20:41,Wednesday,Amul Butter (100g),Dairy,1,56,56,Cash,Walk-in,No
5059,2025-10-01,10:20:41,Wednesday,Rin Detergent Bar,Household,1,20,20,Cash,Walk-in,No
5059,2025-10-01,10:20:41,Wednesday,Toor Dal (1kg),Groceries,1,135,135,Cash,Walk-in,No
5060,2025-10-01,19:18:06,Wednesday,Onions (1kg),Fresh Produce,5,30,150,Credit Card,Walk-in,No
5061,2025-10-01,10:10:09,Wednesday,Haldiram Bhujia (200g),Snacks,2,55,110,UPI,Walk-in,No
5061,2025-10-01,10:10:09,Wednesday,Bananas (Robusta) (Dozen),Fresh Produce,3,50,150,UPI,Walk-in,No
5062,2025-10-01,13:12:17,Wednesday,Dairy Milk Silk,Snacks,2,80,160,UPI,Member,No
5062,2025-10-01,13:12:17,Wednesday,Vim Liquid (500ml),Household,1,105,105,UPI,Member,No
5062,2025-10-01,13:12:17,Wednesday,Sunflower Oil (1L),Groceries,2,145,290,UPI,Member,No
5063,2025-10-01,17:45:38,Wednesday,Ghee (500ml),Groceries,1,380,380,UPI,Walk-in,No
5063,2025-10-01,17:45:38,Wednesday,Colgate Toothpaste (200g),Personal Care,1,110,110,UPI,Walk-in,No
5064,2025-10-02,17:54:06,Thursday,Surf Excel Powder (1kg),Household,1,135,135,Debit Card,Member,No
5065,2025-10-02,14:44:32,Thursday,Mineral Water (20L),Beverages,6,80,480,Credit Card,Member,No
5066,2025-10-02,20:48:20,Thursday,Curd (500ml),Dairy,4,40,160,Debit Card,Member,No
5066,2025-10-02,20:48:20,Thursday,Bananas (Robusta) (Dozen),Fresh Produce,6,50,300,Debit Card,Member,No
5067,2025-10-02,18:32:26,Thursday,Surf Excel Powder (1kg),Household,1,135,135,UPI,Member,No
5067,2025-10-02,18:32:26,Thursday,Maaza (1.2L),Beverages,3,70,210,UPI,Member,No
5067,2025-10-02,18:32:26,Thursday,Thums Up (1.25L),Beverages,1,65,65,UPI,Member,No
5067,2025-10-02,18:32:26,Thursday,Curry Leaves (Bunch),Fresh Produce,2,10,20,UPI,Member,No
5068,2025-10-02,10:42:40,Thursday,Full Cream Milk (500ml),Dairy,8,34,272,UPI,Member,No
5068,2025-10-02,10:42:40,Thursday,Curry Leaves (Bunch),Fresh Produce,2,10,20,UPI,Member,No
5068,2025-10-02,10:42:40,Thursday,Thums Up (1.25L),Beverages,1,65,65,UPI,Member,No
5069,2025-10-02,17:40:39,Thursday,Surf Excel Powder (1kg),Household,1,135,135,Cash,Member,No
5069,2025-10-02,17:40:39,Thursday,Maaza (1.2L),Beverages,2,70,140,Cash,Member,No
5069,2025-10-02,17:40:39,Thursday,Bananas (Robusta) (Dozen),Fresh Produce,1,50,50,Cash,Member,No
5069,2025-10-02,17:40:39,Thursday,Green Chilies (250g),Fresh Produce,2,15,30,Cash,Member,No
5069,2025-10-02,17:40:39,Thursday,Rin Detergent Bar,Household,3,20,60,Cash,Member,No
5070,2025-10-02,18:32:27,Thursday,Papaya (1kg),Fresh Produce,1,45,45,Cash,Walk-in,No
5070,2025-10-02,18:32:27,Thursday,Bru Instant Coffee (50g),Beverages,1,95,95,Cash,Walk-in,No
5071,2025-10-02,17:51:37,Thursday,Sugar (1kg),Groceries,1,44,44,Cash,Member,No
5071,2025-10-02,17:51:37,Thursday,Mineral Water (20L),Beverages,5,80,400,Cash,Member,No
5071,2025-10-02,17:51:37,Thursday,Papaya (1kg),Fresh Produce,1,45,45,Cash,Member,No
5071,2025-10-02,17:51:37,Thursday,Curry Leaves (Bunch),Fresh Produce,2,10,20,Cash,Member,No
5072,2025-10-02,09:07:54,Thursday,Bru Instant Coffee (50g),Beverages,1,95,95,Credit Card,Walk-in,No
5072,2025-10-02,09:07:54,Thursday,Moong Dal (1kg),Groceries,1,110,110,Credit Card,Walk-in,No
5073,2025-10-02,17:24:39,Thursday,Full Cream Milk (500ml),Dairy,2,34,68,Credit Card,Walk-in,No
5073,2025-10-02,17:24:39,Thursday,Papaya (1kg),Fresh Produce,1,45,45,Credit Card,Walk-in,No
5073,2025-10-02,17:24:39,Thursday,Maaza (1.2L),Beverages,2,70,140,Credit Card,Walk-in,No
5073,2025-10-02,17:24:39,Thursday,Basmati Rice (1kg),Groceries,3,120,360,Credit Card,Walk-in,No
5073,2025-10-02,17:24:39,Thursday,Eggs (Tray 30),Dairy,1,180,180,Credit Card,Walk-in,No
5074,2025-10-02,14:11:34,Thursday,Amul Butter (100g),Dairy,1,56,56,Cash,Walk-in,No
5074,2025-10-02,14:11:34,Thursday,Curd (500ml),Dairy,3,40,120,Cash,Walk-in,No
5075,2025-10-02,18:11:44,Thursday,Colgate Toothpaste (200g),Personal Care,1,110,110,UPI,Member,No
5076,2025-10-02,20:42:19,Thursday,Basmati Rice (1kg),Groceries,2,120,240,Credit Card,Member,No
5076,2025-10-02,20:42:19,Thursday,Full Cream Milk (500ml),Dairy,7,34,238,Credit Card,Member,No
5077,2025-10-02,18:44:46,Thursday,Maaza (1.2L),Beverages,3,70,210,Cash,Walk-in,No
5078,2025-10-02,19:15:29,Thursday,Green Chilies (250g),Fresh Produce,2,15,30,Cash,Member,No
5079,2025-10-02,12:59:32,Thursday,Red Label Tea (500g),Beverages,1,210,210,Cash,Member,No
5080,2025-10-02,12:25:26,Thursday,Bru Instant Coffee (50g),Beverages,1,95,95,UPI,Member,No
5080,2025-10-02,12:25:26,Thursday,Eggs (Tray 30),Dairy,2,180,360,UPI,Member,No
5081,2025-10-02,19:38:03,Thursday,Eggs (Tray 30),Dairy,1,180,180,Credit Card,Walk-in,No
5081,2025-10-02,19:38:03,Thursday,Colgate Toothpaste (200g),Personal Care,1,110,110,Credit Card,Walk-in,No
5081,2025-10-02,19:38:03,Thursday,Paneer (200g),Dairy,1,95,95,Credit Card,Walk-in,No
5082,2025-10-02,09:50:18,Thursday,Tomatoes (Local) (1kg),Fresh Produce,5,35,175,Credit Card,Member,No
5082,2025-10-02,09:50:18,Thursday,Rin Detergent Bar,Household,1,20,20,Credit Card,Member,No
5082,2025-10-02,09:50:18,Thursday,Basmati Rice (1kg),Groceries,2,120,240,Credit Card,Member,No
5082,2025-10-02,09:50:18,Thursday,Moong Dal (1kg),Groceries,2,110,220,Credit Card,Member,No
5082,2025-10-02,09:50:18,Thursday,Paneer (200g),Dairy,1,95,95,Credit Card,Member,No
5083,2025-10-02,11:02:53,Thursday,Maaza (1.2L),Beverages,1,70,70,Cash,Walk-in,No
5084,2025-10-02,17:33:45,Thursday,Sona Masoori Rice (1kg),Groceries,3,55,165,Debit Card,Walk-in,No
5084,2025-10-02,17:33:45,Thursday,Moong Dal (1kg),Groceries,1,110,110,Debit Card,Walk-in,No
5084,2025-10-02,17:33:45,Thursday,Good Day Biscuits,Snacks,6,30,180,Debit Card,Walk-in,No
5085,2025-10-02,18:52:12,Thursday,Atta (Wheat Flour) (1kg),Groceries,3,42,126,UPI,Member,No
5085,2025-10-02,18:52:12,Thursday,Sona Masoori Rice (1kg),Groceries,3,55,165,UPI,Member,No
5086,2025-10-02,18:16:22,Thursday,Thums Up (1.25L),Beverages,3,65,195,UPI,Member,No
5086,2025-10-02,18:16:22,Thursday,Paneer (200g),Dairy,1,95,95,UPI,Member,No
5087,2025-10-02,19:12:36,Thursday,Sona Masoori Rice (1kg),Groceries,6,55,330,Cash,Walk-in,No
5087,2025-10-02,19:12:36,Thursday,Amul Butter (100g),Dairy,1,56,56,Cash,Walk-in,No
5088,2025-10-02,20:21:32,Thursday,Bananas (Robusta) (Dozen),Fresh Produce,1,50,50,Cash,Member,No
5088,2025-10-02,20:21:32,Thursday,Good Day Biscuits,Snacks,5,30,150,Cash,Member,No
5088,2025-10-02,20:21:32,Thursday,Haldiram Bhujia (200g),Snacks,1,55,55,Cash,Member,No
5088,2025-10-02,20:21:32,Thursday,Paneer (200g),Dairy,2,95,190,Cash,Member,No
5088,2025-10-02,20:21:32,Thursday,Palak (Bunch),Fresh Produce,1,20,20,Cash,Member,No
5089,2025-10-02,10:59:25,Thursday,Curry Leaves (Bunch),Fresh Produce,2,10,20,Debit Card,Member,No
5089,2025-10-02,10:59:25,Thursday,Haldiram Bhujia (200g),Snacks,2,55,110,Debit Card,Member,No
5090,2025-10-02,18:58:03,Thursday,Mineral Water (20L),Beverages,7,80,560,UPI,Walk-in,No
5090,2025-10-02,18:58:03,Thursday,Maaza (1.2L),Beverages,2,70,140,UPI,Walk-in,No
5090,2025-10-02,18:58:03,Thursday,Bananas (Robusta) (Dozen),Fresh Produce,3,50,150,UPI,Walk-in,No
5090,2025-10-02,18:58:03,Thursday,Sunflower Oil (1L),Groceries,1,145,145,UPI,Walk-in,No
5091,2025-10-02,15:51:37,Thursday,Surf Excel Powder (1kg),Household,1,135,135,UPI,Walk-in,No
5091,2025-10-02,15:51:37,Thursday,Potatoes (1kg),Fresh Produce,4,28,112,UPI,Walk-in,No
5091,2025-10-02,15:51:37,Thursday,Toor Dal (1kg),Groceries,1,135,135,UPI,Walk-in,No
5092,2025-10-02,19:25:56,Thursday,Maaza (1.2L),Beverages,4,70,280,Credit Card,Member,No
5092,2025-10-02,19:25:56,Thursday,Moong Dal (1kg),Groceries,2,110,220,Credit Card,Member,No
5092,2025-10-02,19:25:56,Thursday,Lays Chips (Magic Masala),Snacks,9,20,180,Credit Card,Member,No
5092,2025-10-02,19:25:56,Thursday,Bru Instant Coffee (50g),Beverages,1,95,95,Credit Card,Member,No
5092,2025-10-02,19:25:56,Thursday,Haldiram Bhujia (200g),Snacks,2,55,110,Credit Card,Member,No
5093,2025-10-02,20:41:42,Thursday,Colgate Toothpaste (200g),Personal Care,1,110,110,Cash,Member,No
5094,2025-10-02,17:49:00,Thursday,Lays Chips (Magic Masala),Snacks,1,20,20,Credit Card,Member,No
5095,2025-10-02,20:44:28,Thursday,Surf Excel Powder (1kg),Household,1,135,135,Debit Card,Walk-in,No
5096,2025-10-02,17:19:02,Thursday,Sunflower Oil (1L),Groceries,2,145,290,UPI,Member,No
5097,2025-10-03,17:24:50,Friday,Moong Dal (1kg),Groceries,1,110,110,UPI,Walk-in,No
5097,2025-10-03,17:24:50,Friday,Eggs (Tray 30),Dairy,1,180,180,UPI,Walk-in,No
5097,2025-10-03,17:24:50,Friday,Tomatoes (Local) (1kg),Fresh Produce,4,35,140,UPI,Walk-in,No
5098,2025-10-03,15:03:23,Friday,Papaya (1kg),Fresh Produce,1,45,45,Credit Card,Member,No
5099,2025-10-03,12:15:07,Friday,Bru Instant Coffee (50g),Beverages,1,95,95,Debit Card,Walk-in,No
5100,2025-10-03,18:40:56,Friday,Toor Dal (1kg),Groceries,1,135,135,UPI,Member,No
5100,2025-10-03,18:40:56,Friday,Curd (500ml),Dairy,2,40,80,UPI,Member,No
5101,2025-10-03,11:19:34,Friday,Potatoes (1kg),Fresh Produce,2,28,56,UPI,Member,No
5101,2025-10-03,11:19:34,Friday,Green Chilies (250g),Fresh Produce,2,15,30,UPI,Member,No
5101,2025-10-03,11:19:34,Friday,Ghee (500ml),Groceries,1,380,380,UPI,Member,No
5101,2025-10-03,11:19:34,Friday,Bru Instant Coffee (50g),Beverages,1,95,95,UPI,Member,No
5101,2025-10-03,11:19:34,Friday,Curry Leaves (Bunch),Fresh Produce,2,10,20,UPI,Member,No
5102,2025-10-03,17:44:45,Friday,Lays Chips (Magic Masala),Snacks,3,20,60,Debit Card,Member,No
5102,2025-10-03,17:44:45,Friday,Rin Detergent Bar,Household,1,20,20,Debit Card,Member,No
5102,2025-10-03,17:44:45,Friday,Red Label Tea (500g),Beverages,1,210,210,Debit Card,Member,No
5102,2025-10-03,17:44:45,Friday,Haldiram Bhujia (200g),Snacks,1,55,55,Debit Card,Member,No
5103,2025-10-03,18:47:54,Friday,Eggs (Tray 30),Dairy,1,180,180,Credit Card,Walk-in,No
5104,2025-10-03,18:59:42,Friday,Potatoes (1kg),Fresh Produce,4,28,112,Credit Card,Member,No
5104,2025-10-03,18:59:42,Friday,Eggs (Tray 30),Dairy,1,180,180,Credit Card,Member,No
5104,2025-10-03,18:59:42,Friday,Good Day Biscuits,Snacks,6,30,180,Credit Card,Member,No
5104,2025-10-03,18:59:42,Friday,Curd (500ml),Dairy,2,40,80,Credit Card,Member,No
5105,2025-10-03,17:20:57,Friday,Sugar (1kg),Groceries,2,44,88,UPI,Member,No
5106,2025-10-03,17:22:12,Friday,Mineral Water (20L),Beverages,8,80,640,Cash,Walk-in,No
5106,2025-10-03,17:22:12,Friday,Thums Up (1.25L),Beverages,2,65,130,Cash,Walk-in,No
